text,label
যেমনটা আশা করছিলাম তেমনটাই দিয়েছেন,2
এক দোম ফালতু কেও নিবেন না,0
আলহামদুলিল্লাহ ভালো প্রডাক্ট এবং ভালো ভাবে পেয়েছি।,1
আমার কাছে অসম্ভব সুন্দর লাগছে ছবির তুলনায় বাস্তবে অনেক সুন্দর। প্যাকিং টা বেশ ভালো নয়।,1
খুবই চমৎকার একটা ঘড়ি। ধন্যবাদ,2
অনেক সুন্দর চোখ বুঝে নিতে পারেন,2
"আপনারা নিশ্চিন্তে নিতে পারেন অনেক ভালো একটি প্রোডাক্ট, আমি ফাস্ট টাইম এই রকম ভালো একটা প্রোডাক্ট পেয়েছি ধন্যবাদ দারাজ",2
কথায় আর কাজে ঠিক আছে,1
এতো দামি ঘরি একটা ভালো প্যাকেট দেয় নায় ,1
আমি যেমন চেয়েছিলাম তেমোন পাইনি,0
খুব বাজে একটা পন্য,0
একদম ভালো না বাজে,0
গুণমান ভাল না।,0
"এক্সএল, অর্ডার করেছিলাম l পাইলাম বালদা",0
প্রোডাক্টটা অনেক ভালো যেমন টা চেয়েছিলাম তেমনটাই পেয়েছি। ধন্যবাদ দারাজ ,2
"অনেক ভালো আছে, নিতে পারেন",2
"যেমনটা চেয়েছিলাম, তেমনটাই পেয়েছি, ধন্যবাদ দ্বারাজ কে, প্যাকেজিং খুব ভালো ছিল,",1
যেমনটা চেয়েছিলাম তেমনি পেয়েছি। আপাতত কোনো সমস্যা হচ্ছে না। ডেলিভারি দেরি হইছে।,1
মোবাইলটা আমার অনেক পছন্দ হয়েছে দামও অনেক কম ছিল,1
প্যাকিজিং সুন্দর ছিলো। অফারে কম টাকায় দেওয়ার জন্য ধন্যবাদ ইনফিনিক্স।,1
মোবাইলটি সুবিধা নয়,0
প্রোডাক্ট কোয়ালিটি দাম অনুযায়ী ঠিক আছে।,1
ভালই চলছে। তবে বেশি ঘন কফি হলে লোড নিতে পারেনা।,1
অনেক ভালো একটা প্রোডাক্ট পেলাম।,2
মোটামুটি মানের,1
